Date,Price,Rating
1947-01-01,34.4,90
1947-02-01,44.2,90
1947-03-01,43.9,50
1947-04-01,50.1,50
1947-05-01,54.9,50
1947-06-01,54.6,50
1947-07-01,54.6,70
1947-08-01,54.6,90
1947-09-01,31.6,90
1947-10-01,31.1,90
1947-11-01,29.3,90
1947-12-01,32.6,90
1948-01-01,33.9,90
1948-02-01,33.8,90
1948-03-01,26.1,50
1948-04-01,26.4,50
1948-05-01,24.7,50
1948-06-01,29.7,50
1948-07-01,29.7,70
1948-08-01,35.5,90
1948-09-01,32.4,90
1948-10-01,29.6,90
1948-11-01,31.7,90
1948-12-01,31.6,90
1949-01-01,54.1,90
1949-02-01,50.4,90
1949-03-01,39.7,50
1949-04-01,26.1,50
1949-05-01,36.3,50
1949-06-01,36.9,50
1949-07-01,35.9,70
1949-08-01,27.5,90
1949-09-01,30.3,90
1949-10-01,26.9,90
1949-11-01,27.5,90
1949-12-01,26.8,90
1950-01-01,32.7,90
1950-02-01,38,90
1950-03-01,26.8,50
1950-04-01,31.2,50
1950-05-01,33.4,50
1950-06-01,38.4,50
1950-07-01,39.3,70
1950-08-01,31.7,90
1950-09-01,30.7,90
1950-10-01,30.7,90
1950-11-01,37.4,90
1950-12-01,42.2,90
1951-01-01,48.1,90
1951-02-01,40.5,90
1951-03-01,32.7,50
1951-04-01,35,50
1951-05-01,48.4,50
1951-06-01,32.1,50
1951-07-01,38.4,70
1951-08-01,34.6,90
1951-09-01,33.7,90
1951-10-01,32.8,90
1951-11-01,39.7,90
1951-12-01,37.4,90
1952-01-01,35.1,90
1952-02-01,37.5,90
1952-03-01,32.4,50
1952-04-01,32.9,50
1952-05-01,26.8,50
1952-06-01,52.6,50
1952-07-01,60.9,70
1952-08-01,37.7,90
1952-09-01,45,90
1952-10-01,32.9,90
1952-11-01,33.4,90
1952-12-01,31.8,90
1953-01-01,31.5,90
1953-02-01,25.5,90
1953-03-01,23.9,50
1953-04-01,31.8,50
1953-05-01,40.2,50
1953-06-01,64.7,50
1953-07-01,38.4,70
1953-08-01,29.6,90
1953-09-01,36.2,90
1953-10-01,30.9,90
1953-11-01,32.9,90
1953-12-01,26.8,90
1954-01-01,28.3,90
1954-02-01,35.1,90
1954-03-01,31.5,50
1954-04-01,28.9,50
1954-05-01,25.3,50
1954-06-01,30,50
1954-07-01,35.1,70
1954-08-01,34,90
1954-09-01,36.2,90
1954-10-01,28.9,90
1954-11-01,34.6,90
1954-12-01,31.8,90
1955-01-01,33.6,90
1955-02-01,41,90
1955-03-01,38.2,50
1955-04-01,40.9,50
1955-05-01,34.8,50
1955-06-01,31.1,50
1955-07-01,34,70
1955-08-01,35.1,90
1955-09-01,54.8,90
1955-10-01,43.5,90
1955-11-01,32,90
1955-12-01,27.8,90
1956-01-01,29.8,90
1956-02-01,30.5,90
1956-03-01,31.6,50
1956-04-01,39.9,50
1956-05-01,31.1,50
1956-06-01,41.1,50
1956-07-01,35.9,70
1956-08-01,31.5,90
1956-09-01,27.4,90
1956-10-01,29.3,90
1956-11-01,32.2,90
1956-12-01,36.2,90
1957-01-01,46.4,90
1957-02-01,40,90
1957-03-01,32.7,50
1957-04-01,33.6,50
1957-05-01,40.2,50
1957-06-01,41.7,50
1957-07-01,37.3,70
1957-08-01,34,90
1957-09-01,35.1,90
1957-10-01,26.3,90
1957-11-01,31.8,90
1957-12-01,36.2,90
1958-01-01,40.6,90
1958-02-01,47.2,90
1958-03-01,39.9,50
1958-04-01,57.4,50
1958-05-01,70.2,50
1958-06-01,46.1,50
1958-07-01,45.5,70
1958-08-01,23,90
1958-09-01,40.6,90
1958-10-01,31.8,90
1958-11-01,39.5,90
1958-12-01,37.6,90
1959-01-01,30.3,90
1959-02-01,31.6,90
1959-03-01,24.9,50
1959-04-01,31.8,50
1959-05-01,30.2,50
1959-06-01,39.2,50
1959-07-01,26.3,70
1959-08-01,36.2,90
1959-09-01,48.3,90
1959-10-01,47.2,90
1959-11-01,38.9,90
1959-12-01,31.5,90
1960-01-01,32.4,90
1960-02-01,25.3,90
1960-03-01,35.1,50
1960-04-01,26.3,50
1960-05-01,41.4,50
1960-06-01,34.2,50
1960-07-01,39.5,70
1960-08-01,41.2,90
1960-09-01,40,90
1960-10-01,31.8,90
1960-11-01,31.1,90
1960-12-01,25,90
1961-01-01,28.2,90
1961-02-01,32.6,90
1961-03-01,27.5,50
1961-04-01,25,50
1961-05-01,30.3,50
1961-06-01,35.9,50
1961-07-01,30,70
1961-08-01,39.5,90
1961-09-01,37.7,90
1961-10-01,32.4,90
1961-11-01,46.1,90
1961-12-01,29.6,90
1962-01-01,41.7,90
1962-02-01,51.5,90
1962-03-01,66.9,50
1962-04-01,67.7,50
1962-05-01,42.2,50
1962-06-01,48.5,50
1962-07-01,54.8,70
1962-08-01,38.4,90
1962-09-01,31.8,90
1962-10-01,25.2,90
1962-11-01,30.7,90
1962-12-01,23,90
1963-01-01,36.2,90
1963-02-01,28.5,90
1963-03-01,34,50
1963-04-01,31.8,50
1963-05-01,32.2,50
1963-06-01,28.1,50
1963-07-01,43.9,70
1963-08-01,24.1,90
1963-09-01,34,90
1963-10-01,29.6,90
1963-11-01,30.7,90
1963-12-01,28.5,90
1964-01-01,38.7,90
1964-02-01,43,90
1964-03-01,59.2,50
1964-04-01,36.4,50
1964-05-01,35.1,50
1964-06-01,41.7,50
1964-07-01,43.3,70
1964-08-01,30.2,90
1964-09-01,46.1,90
1964-10-01,39.5,90
1964-11-01,40,90
1964-12-01,32.2,90
1965-01-01,32.4,90
1965-02-01,34.9,90
1965-03-01,49.8,50
1965-04-01,45.7,50
1965-05-01,37.3,50
1965-06-01,34,50
1965-07-01,46.1,70
1965-08-01,37.7,90
1965-09-01,46.1,90
1965-10-01,39.5,90
1965-11-01,46.6,90
1965-12-01,32.9,90
1966-01-01,47.8,90
1966-02-01,47.2,90
1966-03-01,43,50
1966-04-01,28,50
1966-05-01,46.1,50
1966-06-01,64.7,50
1966-07-01,60.3,70
1966-08-01,54.3,90
1966-09-01,41.7,90
1966-10-01,30.7,90
1966-11-01,49.3,90
1966-12-01,32.9,90
1967-01-01,32.9,90
1967-02-01,32.9,90
1967-03-01,33.1,50
1967-04-01,30.2,50
1967-05-01,47.2,50
1967-06-01,48.3,50
1967-07-01,51.6,70
1967-08-01,52.9,90
1967-09-01,50.5,90
1967-10-01,36.2,90
1967-11-01,44.5,90
1967-12-01,40.9,90
1968-01-01,50.5,90
1968-02-01,48.3,90
1968-03-01,35.1,50
1968-04-01,45,50
1968-05-01,41.7,50
1968-06-01,54.8,50
1968-07-01,36.2,70
1968-08-01,30.7,90
1968-09-01,35.1,90
1968-10-01,32.9,90
1968-11-01,40.3,90
1968-12-01,31.1,90
1969-01-01,36.5,90
1969-02-01,39.5,90
1969-03-01,45.9,50
1969-04-01,43.7,50
1969-05-01,64.1,50
1969-06-01,46.1,50
1969-07-01,70.2,70
1969-08-01,37.3,90
1969-09-01,49,90
1969-10-01,34.4,90
1969-11-01,58.1,90
1969-12-01,53.3,90
1970-01-01,61.4,90
1970-02-01,42.6,90
1970-03-01,44.7,50
1970-04-01,46.3,50
1970-05-01,79.8,50
1970-06-01,62,50
1970-07-01,35.1,70
1970-08-01,32.9,90
1970-09-01,63.7,90
1970-10-01,42.2,90
1970-11-01,41.7,90
1970-12-01,34.1,90
1971-01-01,40.6,90
1971-02-01,32.2,90
1971-03-01,36.9,50
1971-04-01,37.3,50
1971-05-01,45.1,50
1971-06-01,47.2,50
1971-07-01,54.9,70
1971-08-01,49.4,90
1971-09-01,46.1,90
1971-10-01,48.3,90
1971-11-01,69.4,90
1971-12-01,76.1,90
1972-01-01,78.3,90
1972-02-01,103.9,90
1972-03-01,44.2,50
1972-04-01,35.1,50
1972-05-01,58.5,50
1972-06-01,43.4,50
1972-07-01,64.8,70
1972-08-01,46.1,90
1972-09-01,67,90
1972-10-01,43.9,90
1972-11-01,56.8,90
1972-12-01,43.9,90
1973-01-01,66.9,90
1973-02-01,68,90
1973-03-01,49.2,50
1973-04-01,46.5,50
1973-05-01,45.2,50
1973-06-01,57.1,50
1973-07-01,83.4,70
1973-08-01,63.7,90
1973-09-01,51.6,90
1973-10-01,42.8,90
1973-11-01,52.7,90
1973-12-01,36.2,90
1974-01-01,47.4,90
1974-02-01,55.8,90
1974-03-01,39.5,50
1974-04-01,40.2,50
1974-05-01,72.4,50
1974-06-01,76.8,50
1974-07-01,66.6,70
1974-08-01,47.2,90
1974-09-01,,90
1974-10-01,61.5,90
1974-11-01,62.9,90
1974-12-01,50.5,90
1975-01-01,59.3,90
1975-02-01,60,90
1975-03-01,46.4,50
1975-04-01,46.6,50
1975-05-01,66.9,50
1975-06-01,79.8,50
1975-07-01,81.2,70
1975-08-01,50.5,90
1975-09-01,70.2,90
1975-10-01,95.5,90
1975-11-01,84.5,90
1975-12-01,111.9,90
1976-01-01,101,90
1976-02-01,68,90
1976-03-01,60.7,50
1976-04-01,58.7,50
1976-05-01,74,50
1976-06-01,63.7,50
1976-07-01,60,70
1976-08-01,62.6,90
1976-09-01,63.7,90
1976-10-01,60.4,90
1976-11-01,79,90
1976-12-01,63.1,90
1977-01-01,115.2,90
1977-02-01,118.5,90
1977-03-01,87.8,50
1977-04-01,79.8,50
1977-05-01,82.3,50
1977-06-01,71,50
1977-07-01,85.1,70
1977-08-01,69.9,90
1977-09-01,68,90
1977-10-01,59.3,90
1977-11-01,87.8,90
1977-12-01,60.4,90
1978-01-01,98.8,90
1978-02-01,87.8,90
1978-03-01,98.5,50
1978-04-01,105.4,50
1978-05-01,110,50
1978-06-01,158,50
1978-07-01,122.9,70
1978-08-01,93.7,90
1978-09-01,122.9,90
1978-10-01,109.7,90
1978-11-01,92.7,90
1978-12-01,76.8,90
1979-01-01,98.8,90
1979-02-01,116.3,90
1979-03-01,88.7,50
1979-04-01,67.3,50
1979-05-01,108.7,50
1979-06-01,114.1,50
1979-07-01,101,70
1979-08-01,70.2,90
1979-09-01,62.6,90
1979-10-01,72.4,90
1979-11-01,79,90
1979-12-01,78.5,90
1980-01-01,94.4,90
1980-02-01,61.2,90
1980-03-01,75.7,50
1980-04-01,97.2,50
1980-05-01,99.5,50
1980-06-01,96.6,50
1980-07-01,89.3,70
1980-08-01,79,90
1980-09-01,87.8,90
1980-10-01,79,90
1980-11-01,103.2,90
1980-12-01,125.8,90
1981-01-01,127.3,90
1981-02-01,76.8,90
1981-03-01,79,50
1981-04-01,79.8,50
1981-05-01,128.4,50
1981-06-01,133.2,50
1981-07-01,125.1,70
1981-08-01,117.1,90
1981-09-01,94.4,90
1981-10-01,89.3,90
1981-11-01,102.1,90
1981-12-01,89.1,90
1982-01-01,114.1,90
1982-02-01,112.4,90
1982-03-01,101,50
1982-04-01,95.1,50
1982-05-01,109.7,50
1982-06-01,114.1,50
1982-07-01,98.8,70
1982-08-01,102.1,90
1982-09-01,102.4,90
1982-10-01,90,90
1982-11-01,83.4,90
1982-12-01,76.8,90
1983-01-01,82.7,90
1983-02-01,94.4,90
1983-03-01,85.2,50
1983-04-01,126.6,50
1983-05-01,167.9,50
1983-06-01,125.8,50
1983-07-01,124,70
1983-08-01,107.6,90
1983-09-01,121.5,90
1983-10-01,103.9,90
1983-11-01,140.5,90
1983-12-01,172.3,90
1984-01-01,195.4,90
1984-02-01,195.4,90
1984-03-01,120.2,50
1984-04-01,86,50
1984-05-01,128.8,50
1984-06-01,113.4,50
1984-07-01,98,70
1984-08-01,87.8,90
1984-09-01,89.3,90
1984-10-01,80.5,90
1984-11-01,125.8,90
1984-12-01,86.7,90
1985-01-01,79.5,90
1985-02-01,80.1,90
1985-03-01,79.8,50
1985-04-01,76.3,50
1985-05-01,90,50
1985-06-01,104.3,50
1985-07-01,114.1,70
1985-08-01,98.8,90
1985-09-01,98.8,90
1985-10-01,94.4,90
1985-11-01,107.6,90
1985-12-01,127.3,90
1986-01-01,101,90
1986-02-01,83.4,90
1986-03-01,83.4,50
1986-04-01,143.4,50
1986-05-01,127.3,50
1986-06-01,98.8,50
1986-07-01,125.1,70
1986-08-01,106.8,90
1986-09-01,116.3,90
1986-10-01,114.1,90
1986-11-01,114.1,90
1986-12-01,90.4,90
1987-01-01,131.7,90
1987-02-01,106.8,90
1987-03-01,108.3,50
1987-04-01,104.6,50
1987-05-01,117.1,50
1987-06-01,98.8,50
1987-07-01,96.6,70
1987-08-01,77.6,90
1987-09-01,130.2,90
1987-10-01,94.4,90
1987-11-01,102.4,90
1987-12-01,100,90
1988-01-01,144.1,90
1988-02-01,110.5,90
1988-03-01,76.8,50
1988-04-01,88.7,50
1988-05-01,137.2,50
1988-06-01,100.2,50
1988-07-01,105.4,70
1988-08-01,99.5,90
1988-09-01,166.8,90
1988-10-01,101,90
1988-11-01,109.7,90
1988-12-01,95.5,90
1989-01-01,109.7,90
1989-02-01,109.7,90
1989-03-01,99.5,50
1989-04-01,85.6,50
1989-05-01,169,50
1989-06-01,134.6,50
1989-07-01,98.8,70
1989-08-01,110.5,90
1989-09-01,83.4,90
1989-10-01,101,90
1989-11-01,,90
1989-12-01,90.1,90
1990-01-01,133.2,90
1990-02-01,133.9,90
1990-03-01,79,50
1990-04-01,76.8,50
1990-05-01,114.1,50
1990-06-01,106.8,50
1990-07-01,101,70
1990-08-01,81.2,90
1990-09-01,100.5,90
1990-10-01,83.4,90
1990-11-01,127.3,90
1990-12-01,105.9,90
1991-01-01,117.8,90
1991-02-01,147.1,90
1991-03-01,82.3,50
1991-04-01,81.8,50
1991-05-01,147.8,50
1991-06-01,108.3,50
1991-07-01,137.6,70
1991-08-01,76.8,90
1991-09-01,85.2,90
1991-10-01,86.7,90
1991-11-01,118.5,90
1991-12-01,84.9,90
1992-01-01,88.6,90
1992-02-01,85.1,90
1992-03-01,113.7,50
1992-04-01,171.5,50
1992-05-01,205.4,50
1992-06-01,159,50
1992-07-01,155.9,70
1992-08-01,207,90
1992-09-01,197.7,90
1992-10-01,129.5,90
1992-11-01,179.7,90
1992-12-01,144.8,90
1993-01-01,270.7,90
1993-02-01,430.8,90
1993-03-01,360.7,50
1993-04-01,188.3,50
1993-05-01,243,50
1993-06-01,110.8,50
1993-07-01,128.5,70
1993-08-01,115.1,90
1993-09-01,172.7,90
1993-10-01,177.3,90
1993-11-01,186.2,90
1993-12-01,119,90
1994-01-01,104.8,90
1994-02-01,110.2,90
1994-03-01,111.1,50
1994-04-01,104.2,50
1994-05-01,171.8,50
1994-06-01,115.9,50
1994-07-01,179,70
1994-08-01,143.6,90
1994-09-01,156.2,90
1994-10-01,119.5,90
1994-11-01,193.9,90
1994-12-01,326.4,90
1995-01-01,306.9,90
1995-02-01,346.8,90
1995-03-01,263.1,50
1995-04-01,369.4,50
1995-05-01,343.1,50
1995-06-01,190.7,50
1995-07-01,176.2,70
1995-08-01,120.6,90
1995-09-01,223.5,90
1995-10-01,159.6,90
1995-11-01,174.6,90
1995-12-01,101.1,90
1996-01-01,88.9,90
1996-02-01,101.1,90
1996-03-01,126.6,50
1996-04-01,208.1,50
1996-05-01,105.4,50
1996-06-01,147.9,50
1996-07-01,136.4,70
1996-08-01,103.1,90
1996-09-01,143,90
1996-10-01,98.4,90
1996-11-01,180.4,90
1996-12-01,143.5,90
1997-01-01,166.9,90
1997-02-01,164.8,90
1997-03-01,159.5,50
1997-04-01,132.9,50
1997-05-01,165.1,50
1997-06-01,121.1,50
1997-07-01,288.3,70
1997-08-01,225,90
1997-09-01,251.3,90
1997-10-01,148.6,90
1997-11-01,216.9,90
1997-12-01,170.9,90
1998-01-01,143.1,90
1998-02-01,164.1,90
1998-03-01,165.7,50
1998-04-01,144,50
1998-05-01,183.4,50
1998-06-01,145.1,50
1998-07-01,156.7,70
1998-08-01,112.7,90
1998-09-01,119.8,90
1998-10-01,131,90
1998-11-01,169.8,90
1998-12-01,106.7,90
1999-01-01,121.5,90
1999-02-01,103.8,90
1999-03-01,104.7,50
1999-04-01,119.9,50
1999-05-01,158.1,50
1999-06-01,225.4,50
1999-07-01,215.3,70
1999-08-01,129.7,90
1999-09-01,143.4,90
1999-10-01,97,90
1999-11-01,183.3,90
1999-12-01,245,90
2000-01-01,248.3,90
2000-02-01,202.4,90
2000-03-01,168.9,50
2000-04-01,274.2,50
2000-05-01,279.9,50
2000-06-01,386.8,50
2000-07-01,243.3,70
2000-08-01,281.2,90
2000-09-01,199.3,90
2000-10-01,148.7,90
2000-11-01,302.3,90
2000-12-01,277,90
2001-01-01,209.4,90
2001-02-01,251.6,90
2001-03-01,241.5,50
2001-04-01,264.3,50
2001-05-01,373,50
2001-06-01,604.4,50
2001-07-01,211.2,70
2001-08-01,98.8,90
2001-09-01,104.2,90
2001-10-01,103.4,90
2001-11-01,138.3,90
2001-12-01,127,90
2002-01-01,125,90
2002-02-01,222.4,90
2002-03-01,274.1,50
2002-04-01,270.8,50
2002-05-01,147.7,50
2002-06-01,117,50
2002-07-01,120.5,70
2002-08-01,107,90
2002-09-01,133.3,90
2002-10-01,107.1,90
2002-11-01,187.8,90
2002-12-01,102.9,90
2003-01-01,104.6,90
2003-02-01,114.5,90
2003-03-01,165.8,50
2003-04-01,186.3,50
2003-05-01,157.4,50
2003-06-01,116.8,50
2003-07-01,174.5,70
2003-08-01,108.1,90
2003-09-01,135.5,90
2003-10-01,166.6,90
2003-11-01,288.3,90
2003-12-01,142.5,90
2004-01-01,252.6,90
2004-02-01,247.9,90
2004-03-01,233.7,50
2004-04-01,154.4,50
2004-05-01,242.3,50
2004-06-01,214.8,50
2004-07-01,182.7,70
2004-08-01,118.2,90
2004-09-01,151.4,90
2004-10-01,168.4,90
2004-11-01,243.9,90
2004-12-01,188.2,90
2005-01-01,171.4,90
2005-02-01,290,90
2005-03-01,340.9,50
2005-04-01,175,50
2005-05-01,233,50
2005-06-01,138.3,50
2005-07-01,161.8,70
2005-08-01,151.7,90
2005-09-01,210,90
2005-10-01,199.2,90
2005-11-01,226.7,90
2005-12-01,174,90
2006-01-01,123.6,90
2006-02-01,138,90
2006-03-01,206,50
2006-04-01,252.8,50
2006-05-01,165.4,50
2006-06-01,114.9,50
2006-07-01,308,70
2006-08-01,349.1,90
2006-09-01,255.2,90
2006-10-01,345.8,90
2006-11-01,288.8,90
2006-12-01,242.6,90
2007-01-01,305.3,90
2007-02-01,766.7,90
2007-03-01,428.6,50
2007-04-01,240.1,50
2007-05-01,212.9,50
2007-06-01,181.7,50
2007-07-01,172.5,70
2007-08-01,119.6,90
2007-09-01,188.3,90
2007-10-01,145.7,90
2007-11-01,244.5,90
2007-12-01,170.1,90
2008-01-01,241,90
2008-02-01,169.8,90
2008-03-01,169.8,50
2008-04-01,142.9,50
2008-05-01,563.7,50
2008-06-01,443.4,50
2008-07-01,320.3,70
2008-08-01,159,90
2008-09-01,169,90
2008-10-01,173.3,90
2008-11-01,222.9,90
2008-12-01,160.3,90
2009-01-01,413.2,90
2009-02-01,432.9,90
2009-03-01,167.1,50
2009-04-01,179.7,50
2009-05-01,258.3,50
2009-06-01,151.9,50
2009-07-01,136.5,70
2009-08-01,136.7,90
2009-09-01,142.2,90
2009-10-01,251.3,90
2009-11-01,273.9,90
2009-12-01,606.1,90
2010-01-01,343.3,90
2010-02-01,250.2,90
2010-03-01,322.9,50
2010-04-01,184.8,50
2010-05-01,249.2,50
2010-06-01,213.1,50
2010-07-01,215.6,70
2010-08-01,169.2,90
2010-09-01,187.7,90
2010-10-01,189.9,90
2010-11-01,196.3,90
2010-12-01,331.9,90
2011-01-01,295.2,90
2011-02-01,761.9,90
2011-03-01,389.9,50
2011-04-01,198.8,50
2011-05-01,466.5,50
2011-06-01,243.6,50
2011-07-01,229.1,70
2011-08-01,192.5,90
2011-09-01,166.2,90
2011-10-01,167.5,90
2011-11-01,239.1,90
2011-12-01,227.9,90
2012-01-01,213.4,90
2012-02-01,196,90
2012-03-01,157.5,50
2012-04-01,159.7,50
2012-05-01,220,50
2012-06-01,159.6,50
2012-07-01,365.4,70
2012-08-01,247.4,90
2012-09-01,313.9,90
2012-10-01,218.3,90
2012-11-01,276.6,90
2012-12-01,276.7,90
2013-01-01,470,90
2013-02-01,682.9,90
2013-03-01,383.9,50
2013-04-01,229,50
2013-05-01,630,50
2013-06-01,319.1,50
2013-07-01,254.1,70
2013-08-01,204,90
2013-09-01,207.4,90
2013-10-01,284.1,90
2013-11-01,285.3,90
2013-12-01,226.2,90
2014-01-01,179.7,90
2014-02-01,158.7,90
2014-03-01,137.4,50
2014-04-01,205.4,50
2014-05-01,198.5,50
2014-06-01,196.3,50
2014-07-01,295.9,70
2014-08-01,240,90
2014-09-01,207.7,90
2014-10-01,191.5,90
2014-11-01,333.2,90
2014-12-01,410.3,90
2015-01-01,255.8,90
2015-02-01,208.5,90
2015-03-01,188.7,50
2015-04-01,209.9,50
2015-05-01,322.8,50
2015-06-01,236.9,50
2015-07-01,202.7,70
2015-08-01,315.6,90
2015-09-01,296.9,90
2015-10-01,298.6,90
2015-11-01,442,90
2015-12-01,815.6,90
2016-01-01,847.6,90
2016-02-01,373,90
2016-03-01,256.4,50
2016-04-01,195.7,50
2016-05-01,211.7,50
2016-06-01,164.3,50
2016-07-01,188,70
2016-08-01,170.7,90
2016-09-01,151.4,90
2016-10-01,151.4,90
2016-11-01,298.4,90
2016-12-01,252.5,90
2017-01-01,222.5,90
2017-02-01,206.9,90
2017-03-01,216.8,50
2017-04-01,378,50
2017-05-01,516.3,50
2017-06-01,357.8,50
2017-07-01,377.4,70
2017-08-01,156.7,90
2017-09-01,188.3,90
2017-10-01,160.3,90
2017-11-01,329.4,90
2017-12-01,211.1,90
2018-01-01,191.8,90
2018-02-01,140.8,90
2018-03-01,155.1,50
2018-04-01,185.5,50
2018-05-01,169.9,50
2018-06-01,163.8,50
2018-07-01,266.7,70
2018-08-01,147.3,90
2018-09-01,200.7,90
2018-10-01,152.9,90
2018-11-01,381.8,90
2018-12-01,629.8,90
2019-01-01,543.4,90
2019-02-01,864,90
