Date,Price,Ratings
1947-01-01,26.3,70
1947-02-01,30,70
1947-03-01,17.5,70
1947-04-01,22.4,80
1947-05-01,32.2,90
1947-06-01,22.6,90
1947-07-01,26,90
1947-08-01,30.2,90
1947-09-01,29.4,90
1947-10-01,23.3,90
1947-11-01,28.6,90
1947-12-01,26.7,90
1948-01-01,26.7,70
1948-02-01,20.9,70
1948-03-01,17.6,70
1948-04-01,25,80
1948-05-01,39.5,90
1948-06-01,26.9,90
1948-07-01,26.2,90
1948-08-01,21.2,90
1948-09-01,23.3,90
1948-10-01,25.7,90
1948-11-01,27,90
1948-12-01,25.3,90
1949-01-01,27.1,70
1949-02-01,37.3,70
1949-03-01,35.7,70
1949-04-01,31.5,80
1949-05-01,21.6,90
1949-06-01,18.3,90
1949-07-01,25.8,90
1949-08-01,37,90
1949-09-01,40.9,90
1949-10-01,31,90
1949-11-01,30.4,90
1949-12-01,20.8,90
1950-01-01,29.7,70
1950-02-01,18.7,70
1950-03-01,18.6,70
1950-04-01,23.1,80
1950-05-01,30.2,90
1950-06-01,21.2,90
1950-07-01,21.2,90
1950-08-01,22.8,90
1950-09-01,24.8,90
1950-10-01,21.6,90
1950-11-01,28,90
1950-12-01,20,90
1951-01-01,21.3,70
1951-02-01,20.9,70
1951-03-01,21.6,70
1951-04-01,32.4,80
1951-05-01,31.3,90
1951-06-01,23.1,90
1951-07-01,28.4,90
1951-08-01,29.5,90
1951-09-01,24.5,90
1951-10-01,29.7,90
1951-11-01,35.1,90
1951-12-01,44.1,90
1952-01-01,35.8,70
1952-02-01,17.8,70
1952-03-01,22.9,70
1952-04-01,28.4,80
1952-05-01,30.4,90
1952-06-01,27.3,90
1952-07-01,24.1,90
1952-08-01,29.3,90
1952-09-01,28.4,90
1952-10-01,26.2,90
1952-11-01,29.9,90
1952-12-01,30.4,90
1953-01-01,19.1,70
1953-02-01,18.9,70
1953-03-01,21.5,70
1953-04-01,24.1,80
1953-05-01,32,90
1953-06-01,24.1,90
1953-07-01,26.2,90
1953-08-01,48.2,90
1953-09-01,26.2,90
1953-10-01,34.1,90
1953-11-01,25.2,90
1953-12-01,21.3,90
1954-01-01,34.3,70
1954-02-01,18.9,70
1954-03-01,22,70
1954-04-01,26.6,80
1954-05-01,46.1,90
1954-06-01,14.7,90
1954-07-01,23.1,90
1954-08-01,26.2,90
1954-09-01,27.3,90
1954-10-01,44.1,90
1954-11-01,39.9,90
1954-12-01,18.9,90
1955-01-01,39.9,70
1955-02-01,25.2,70
1955-03-01,26,70
1955-04-01,33.4,80
1955-05-01,27.3,90
1955-06-01,27.3,90
1955-07-01,34.6,90
1955-08-01,30.4,90
1955-09-01,32.5,90
1955-10-01,24.1,90
1955-11-01,25.7,90
1955-12-01,32.2,90
1956-01-01,21.3,70
1956-02-01,19.9,70
1956-03-01,25.2,70
1956-04-01,24.5,80
1956-05-01,31,90
1956-06-01,32,90
1956-07-01,19.9,90
1956-08-01,26.2,90
1956-09-01,31.5,90
1956-10-01,35.7,90
1956-11-01,55.6,90
1956-12-01,41.6,90
1957-01-01,29.4,70
1957-02-01,28.8,70
1957-03-01,17.8,70
1957-04-01,25.2,80
1957-05-01,26.9,90
1957-06-01,.,90
1957-07-01,39.9,90
1957-08-01,50.4,90
1957-09-01,35.7,90
1957-10-01,44.1,90
1957-11-01,35,90
1957-12-01,28.7,90
1958-01-01,28.4,70
1958-02-01,27.3,70
1958-03-01,45.1,70
1958-04-01,31.5,80
1958-05-01,43.6,90
1958-06-01,27.3,90
1958-07-01,27.3,90
1958-08-01,22,90
1958-09-01,30.4,90
1958-10-01,39.9,90
1958-11-01,25.7,90
1958-12-01,27.3,90
1959-01-01,26.2,70
1959-02-01,38.8,70
1959-03-01,21,70
1959-04-01,23.1,80
1959-05-01,24.1,90
1959-06-01,22,90
1959-07-01,28.4,90
1959-08-01,27.3,90
1959-09-01,52.5,90
1959-10-01,48.5,90
1959-11-01,26.2,90
1959-12-01,37.3,90
1960-01-01,36,70
1960-02-01,36.7,70
1960-03-01,27.3,70
1960-04-01,26.2,80
1960-05-01,23.1,90
1960-06-01,16.8,90
1960-07-01,31.5,90
1960-08-01,25.2,90
1960-09-01,30.4,90
1960-10-01,27.3,90
1960-11-01,33.6,90
1960-12-01,27.3,90
1961-01-01,36.7,70
1961-02-01,22,70
1961-03-01,18.9,70
1961-04-01,18.9,80
1961-05-01,32.5,90
1961-06-01,32.5,90
1961-07-01,27.3,90
1961-08-01,26.2,90
1961-09-01,44.1,90
1961-10-01,26.7,90
1961-11-01,30.4,90
1961-12-01,30.4,90
1962-01-01,30.4,70
1962-02-01,40.9,70
1962-03-01,32.5,70
1962-04-01,26.2,80
1962-05-01,42.5,90
1962-06-01,27.3,90
1962-07-01,28.4,90
1962-08-01,19.9,90
1962-09-01,48.3,90
1962-10-01,31.5,90
1962-11-01,37.8,90
1962-12-01,27.8,90
1963-01-01,36.8,70
1963-02-01,34.1,70
1963-03-01,38.8,70
1963-04-01,30.4,80
1963-05-01,31.5,90
1963-06-01,44.1,90
1963-07-01,26.2,90
1963-08-01,25.2,90
1963-09-01,24.1,90
1963-10-01,32.5,90
1963-11-01,48.3,90
1963-12-01,39.4,90
1964-01-01,52.5,70
1964-02-01,37.8,70
1964-03-01,39.9,70
1964-04-01,22,80
1964-05-01,25.2,90
1964-06-01,19.9,90
1964-07-01,36.8,90
1964-08-01,27.3,90
1964-09-01,33.6,90
1964-10-01,34.6,90
1964-11-01,36.8,90
1964-12-01,36.8,90
1965-01-01,27.3,70
1965-02-01,30.4,70
1965-03-01,26.2,70
1965-04-01,43.1,80
1965-05-01,52.5,90
1965-06-01,29.4,90
1965-07-01,24.1,90
1965-08-01,28.4,90
1965-09-01,37.8,90
1965-10-01,40.9,90
1965-11-01,26.2,90
1965-12-01,33.6,90
1966-01-01,59.8,70
1966-02-01,36.8,70
1966-03-01,35.7,70
1966-04-01,35.7,80
1966-05-01,23.1,90
1966-06-01,32,90
1966-07-01,35.7,90
1966-08-01,35.7,90
1966-09-01,44.1,90
1966-10-01,33.6,90
1966-11-01,39.9,90
1966-12-01,18.9,90
1967-01-01,25.2,70
1967-02-01,22.1,70
1967-03-01,28.4,70
1967-04-01,36.8,80
1967-05-01,45.2,90
1967-06-01,67.2,90
1967-07-01,33.6,90
1967-08-01,35.7,90
1967-09-01,31.5,90
1967-10-01,28.4,90
1967-11-01,44.1,90
1967-12-01,42,90
1968-01-01,48.3,70
1968-02-01,22.1,70
1968-03-01,27.3,70
1968-04-01,39.9,80
1968-05-01,35.7,90
1968-06-01,31.5,90
1968-07-01,43.1,90
1968-08-01,37.8,90
1968-09-01,33.6,90
1968-10-01,41,90
1968-11-01,34.2,90
1968-12-01,35.7,90
1969-01-01,36.8,70
1969-02-01,36.8,70
1969-03-01,54.7,70
1969-04-01,39.9,80
1969-05-01,48.3,90
1969-06-01,35.7,90
1969-07-01,31.5,90
1969-08-01,46.2,90
1969-09-01,28.4,90
1969-10-01,39.9,90
1969-11-01,84.1,90
1969-12-01,39.9,90
1970-01-01,37.8,70
1970-02-01,28.4,70
1970-03-01,32.6,70
1970-04-01,23.1,80
1970-05-01,35.7,90
1970-06-01,29.4,90
1970-07-01,30.5,90
1970-08-01,52.5,90
1970-09-01,79.9,90
1970-10-01,31.5,90
1970-11-01,44.1,90
1970-12-01,33.6,90
1971-01-01,42,70
1971-02-01,38.9,70
1971-03-01,58.8,70
1971-04-01,27.3,80
1971-05-01,44.1,90
1971-06-01,39.9,90
1971-07-01,39.9,90
1971-08-01,60.9,90
1971-09-01,37.8,90
1971-10-01,52.5,90
1971-11-01,71.5,90
1971-12-01,50.4,90
1972-01-01,52.5,70
1972-02-01,68,70
1972-03-01,24.9,70
1972-04-01,44.1,80
1972-05-01,28.4,90
1972-06-01,42,90
1972-07-01,29.4,90
1972-08-01,45.2,90
1972-09-01,48.3,90
1972-10-01,35.7,90
1972-11-01,61,90
1972-12-01,44.1,90
1973-01-01,43.1,70
1973-02-01,50.4,70
1973-03-01,44.1,70
1973-04-01,56.7,80
1973-05-01,100.9,90
1973-06-01,88.3,90
1973-07-01,58.9,90
1973-08-01,50.4,90
1973-09-01,52.5,90
1973-10-01,34.7,90
1973-11-01,35.7,90
1973-12-01,44.1,90
1974-01-01,35.2,70
1974-02-01,61,70
1974-03-01,42,70
1974-04-01,50.4,80
1974-05-01,56.8,90
1974-06-01,56.8,90
1974-07-01,71.5,90
1974-08-01,43.1,90
1974-09-01,48.3,90
1974-10-01,65.2,90
1974-11-01,71.5,90
1974-12-01,44.1,90
1975-01-01,71.5,70
1975-02-01,60.9,70
1975-03-01,44.1,70
1975-04-01,54.6,80
1975-05-01,46.2,90
1975-06-01,50.4,90
1975-07-01,50.4,90
1975-08-01,56.7,90
1975-09-01,73.6,90
1975-10-01,58.8,90
1975-11-01,63,90
1975-12-01,58.8,90
1976-01-01,63,70
1976-02-01,.,70
1976-03-01,.,70
1976-04-01,54.6,80
1976-05-01,54.6,90
1976-06-01,52.5,90
1976-07-01,65.1,90
1976-08-01,69.4,90
1976-09-01,105.1,90
1976-10-01,121.9,90
1976-11-01,67.3,90
1976-12-01,60.9,90
1977-01-01,82,70
1977-02-01,52.5,70
1977-03-01,59.2,70
1977-04-01,52.5,80
1977-05-01,48.3,90
1977-06-01,41.7,90
1977-07-01,65.1,90
1977-08-01,45.2,90
1977-09-01,73.6,90
1977-10-01,90.4,90
1977-11-01,82,90
1977-12-01,50.4,90
1978-01-01,75.7,70
1978-02-01,82,70
1978-03-01,48.3,70
1978-04-01,91.1,80
1978-05-01,105.1,90
1978-06-01,96.7,90
1978-07-01,69.4,90
1978-08-01,52.5,90
1978-09-01,56.7,90
1978-10-01,65.1,90
1978-11-01,88.3,90
1978-12-01,96.7,90
1979-01-01,142.9,70
1979-02-01,.,70
1979-03-01,71.5,70
1979-04-01,56.7,80
1979-05-01,77.8,90
1979-06-01,63,90
1979-07-01,60.9,90
1979-08-01,111.4,90
1979-09-01,67.3,90
1979-10-01,78.8,90
1979-11-01,88.3,90
1979-12-01,57.8,90
1980-01-01,64.4,70
1980-02-01,59.9,70
1980-03-01,60.9,70
1980-04-01,79.9,80
1980-05-01,88.3,90
1980-06-01,71.5,90
1980-07-01,82,90
1980-08-01,77.8,90
1980-09-01,105.1,90
1980-10-01,77.8,90
1980-11-01,107.2,90
1980-12-01,63,90
1981-01-01,88.3,70
1981-02-01,69.4,70
1981-03-01,71.5,70
1981-04-01,71.5,80
1981-05-01,96.7,90
1981-06-01,67.3,90
1981-07-01,92.5,90
1981-08-01,100.9,90
1981-09-01,100.9,90
1981-10-01,79.9,90
1981-11-01,75.7,90
1981-12-01,138.7,90
1982-01-01,176.5,70
1982-02-01,121.9,70
1982-03-01,67.3,70
1982-04-01,121.9,80
1982-05-01,71.5,90
1982-06-01,79.9,90
1982-07-01,92.5,90
1982-08-01,67.3,90
1982-09-01,77.8,90
1982-10-01,90.4,90
1982-11-01,90.4,90
1982-12-01,142.9,90
1983-01-01,109.3,70
1983-02-01,54.6,70
1983-03-01,50.4,70
1983-04-01,92.5,80
1983-05-01,100.9,90
1983-06-01,147.1,90
1983-07-01,63,90
1983-08-01,96.7,90
1983-09-01,142.9,90
1983-10-01,147.1,90
1983-11-01,110.7,90
1983-12-01,84.1,90
1984-01-01,96.7,70
1984-02-01,71.5,70
1984-03-01,74.3,70
1984-04-01,60.9,80
1984-05-01,60.9,90
1984-06-01,100.9,90
1984-07-01,79.9,90
1984-08-01,130.3,90
1984-09-01,113.5,90
1984-10-01,126.1,90
1984-11-01,65.1,90
1984-12-01,54.6,90
1985-01-01,107.2,70
1985-02-01,84.1,70
1985-03-01,84.1,70
1985-04-01,60.9,80
1985-05-01,75.7,90
1985-06-01,79.9,90
1985-07-01,117.7,90
1985-08-01,130.3,90
1985-09-01,126.1,90
1985-10-01,84.1,90
1985-11-01,79.9,90
1985-12-01,130.3,90
1986-01-01,89.7,70
1986-02-01,54.6,70
1986-03-01,54.6,70
1986-04-01,126.1,80
1986-05-01,142.9,90
1986-06-01,79.9,90
1986-07-01,84.1,90
1986-08-01,92.5,90
1986-09-01,96.7,90
1986-10-01,75.7,90
1986-11-01,92.5,90
1986-12-01,92.5,90
1987-01-01,92.5,70
1987-02-01,79.9,70
1987-03-01,100.9,70
1987-04-01,63,80
1987-05-01,69.4,90
1987-06-01,67.3,90
1987-07-01,121.9,90
1987-08-01,134.5,90
1987-09-01,113.5,90
1987-10-01,92.5,90
1987-11-01,180.7,90
1987-12-01,199.6,90
1988-01-01,302.6,70
1988-02-01,92.5,70
1988-03-01,126.1,70
1988-04-01,54.6,80
1988-05-01,84.1,90
1988-06-01,109.3,90
1988-07-01,84.1,90
1988-08-01,109.3,90
1988-09-01,105.1,90
1988-10-01,130.3,90
1988-11-01,92.5,90
1988-12-01,151.3,90
1989-01-01,111.4,70
1989-02-01,103,70
1989-03-01,147.1,70
1989-04-01,92.5,80
1989-05-01,65.1,90
1989-06-01,159.7,90
1989-07-01,126.1,90
1989-08-01,105.1,90
1989-09-01,117.7,90
1989-10-01,126.1,90
1989-11-01,88.3,90
1989-12-01,52.5,90
1990-01-01,109.3,70
1990-02-01,73.6,70
1990-03-01,65.1,70
1990-04-01,73.6,80
1990-05-01,75.7,90
1990-06-01,84.1,90
1990-07-01,133.1,90
1990-08-01,109.3,90
1990-09-01,111.4,90
1990-10-01,154.1,90
1990-11-01,201.8,90
1990-12-01,95.3,90
1991-01-01,107.2,70
1991-02-01,72.9,70
1991-03-01,79.9,70
1991-04-01,84.1,80
1991-05-01,172.3,90
1991-06-01,121.9,90
1991-07-01,84.1,90
1991-08-01,96.7,90
1991-09-01,109.3,90
1991-10-01,90.4,90
1991-11-01,201.8,90
1991-12-01,85.5,90
1992-01-01,56.1,70
1992-02-01,54.9,70
1992-03-01,92.3,70
1992-04-01,72.3,80
1992-05-01,157.3,90
1992-06-01,73.4,90
1992-07-01,68.7,90
1992-08-01,206,90
1992-09-01,222.4,90
1992-10-01,189.5,90
1992-11-01,77.5,90
1992-12-01,126.7,90
1993-01-01,93.9,70
1993-02-01,124.3,70
1993-03-01,135.6,70
1993-04-01,325.1,80
1993-05-01,75.6,90
1993-06-01,71,90
1993-07-01,167.1,90
1993-08-01,126.4,90
1993-09-01,106.7,90
1993-10-01,82.4,90
1993-11-01,79.8,90
1993-12-01,73.5,90
1994-01-01,73.3,70
1994-02-01,83.1,70
1994-03-01,66.9,70
1994-04-01,76.5,80
1994-05-01,79.5,90
1994-06-01,101.1,90
1994-07-01,68,90
1994-08-01,79.7,90
1994-09-01,141.2,90
1994-10-01,154.6,90
1994-11-01,161.3,90
1994-12-01,431.3,90
1995-01-01,103.8,70
1995-02-01,75.6,70
1995-03-01,135.5,70
1995-04-01,403.8,80
1995-05-01,503.6,90
1995-06-01,122.4,90
1995-07-01,66.5,90
1995-08-01,132,90
1995-09-01,307.8,90
1995-10-01,148.9,90
1995-11-01,70.5,90
1995-12-01,83.3,90
1996-01-01,157.5,70
1996-02-01,71.2,70
1996-03-01,194.7,70
1996-04-01,96.8,80
1996-05-01,125.6,90
1996-06-01,76.9,90
1996-07-01,120.5,90
1996-08-01,98.1,90
1996-09-01,88.3,90
1996-10-01,84.6,90
1996-11-01,216.1,90
1996-12-01,99.4,90
1997-01-01,97.6,70
1997-02-01,92.6,70
1997-03-01,134.7,70
1997-04-01,122,80
1997-05-01,77.9,90
1997-06-01,108,90
1997-07-01,98.6,90
1997-08-01,212.3,90
1997-09-01,209.5,90
1997-10-01,318.3,90
1997-11-01,172,90
1997-12-01,136.1,90
1998-01-01,191.8,70
1998-02-01,101,70
1998-03-01,107.7,70
1998-04-01,269.4,80
1998-05-01,110.2,90
1998-06-01,83.6,90
1998-07-01,126.6,90
1998-08-01,96.6,90
1998-09-01,122.2,90
1998-10-01,123.7,90
1998-11-01,81,90
1998-12-01,126.7,90
1999-01-01,87,70
1999-02-01,87.8,70
1999-03-01,146.7,70
1999-04-01,272.1,80
1999-05-01,108.4,90
1999-06-01,73,90
1999-07-01,95,90
1999-08-01,113.1,90
1999-09-01,120.8,90
1999-10-01,118.5,90
1999-11-01,90.1,90
1999-12-01,186.2,90
2000-01-01,176.4,70
2000-02-01,93.1,70
2000-03-01,175.9,70
2000-04-01,127.7,80
2000-05-01,259.2,90
2000-06-01,164.2,90
2000-07-01,129.5,90
2000-08-01,152.5,90
2000-09-01,335.7,90
2000-10-01,192.2,90
2000-11-01,200,90
2000-12-01,94.3,90
2001-01-01,96.7,70
2001-02-01,235.6,70
2001-03-01,85.4,70
2001-04-01,189.8,80
2001-05-01,94.6,90
2001-06-01,101.7,90
2001-07-01,100.6,90
2001-08-01,195.3,90
2001-09-01,269,90
2001-10-01,107.1,90
2001-11-01,90.1,90
2001-12-01,196,90
2002-01-01,160.2,70
2002-02-01,428.4,70
2002-03-01,780.2,70
2002-04-01,102.2,80
2002-05-01,78.8,90
2002-06-01,76.9,90
2002-07-01,102.5,90
2002-08-01,149,90
2002-09-01,114.9,90
2002-10-01,181,90
2002-11-01,105,90
2002-12-01,78,90
2003-01-01,104.6,70
2003-02-01,82.7,70
2003-03-01,90.7,70
2003-04-01,140.8,80
2003-05-01,296.3,90
2003-06-01,195.7,90
2003-07-01,84.4,90
2003-08-01,108.2,90
2003-09-01,282.9,90
2003-10-01,287.7,90
2003-11-01,150.5,90
2003-12-01,382.1,90
2004-01-01,164,70
2004-02-01,112.8,70
2004-03-01,94.3,70
2004-04-01,103.5,80
2004-05-01,85.8,90
2004-06-01,87.9,90
2004-07-01,85.9,90
2004-08-01,154.8,90
2004-09-01,135,90
2004-10-01,210.8,90
2004-11-01,130.6,90
2004-12-01,126.2,90
2005-01-01,164,70
2005-02-01,164.1,70
2005-03-01,209.2,70
2005-04-01,220.3,80
2005-05-01,116.4,90
2005-06-01,136.3,90
2005-07-01,85.5,90
2005-08-01,147.1,90
2005-09-01,146.9,90
2005-10-01,137.1,90
2005-11-01,102.4,90
2005-12-01,175.6,90
2006-01-01,98.7,70
2006-02-01,97.2,70
2006-03-01,132.1,70
2006-04-01,266.1,80
2006-05-01,297.6,90
2006-06-01,91,90
2006-07-01,102.5,90
2006-08-01,275.9,90
2006-09-01,160.8,90
2006-10-01,113.6,90
2006-11-01,117.7,90
2006-12-01,258.7,90
2007-01-01,161.9,70
2007-02-01,133.9,70
2007-03-01,266.7,70
2007-04-01,157.9,80
2007-05-01,112.8,90
2007-06-01,161.3,90
2007-07-01,152.5,90
2007-08-01,160.7,90
2007-09-01,237.7,90
2007-10-01,369.5,90
2007-11-01,165.7,90
2007-12-01,164.3,90
2008-01-01,156.8,70
2008-02-01,113.4,70
2008-03-01,121.5,70
2008-04-01,168.8,80
2008-05-01,136.4,90
2008-06-01,152.4,90
2008-07-01,155.7,90
2008-08-01,146.9,90
2008-09-01,258.1,90
2008-10-01,273.6,90
2008-11-01,175.6,90
2008-12-01,171.4,90
2009-01-01,268.2,70
2009-02-01,140.2,70
2009-03-01,132.4,70
2009-04-01,179.6,80
2009-05-01,153.5,90
2009-06-01,135.3,90
2009-07-01,133.9,90
2009-08-01,146.9,90
2009-09-01,167.9,90
2009-10-01,222.7,90
2009-11-01,285.4,90
2009-12-01,273.9,90
2010-01-01,124,70
2010-02-01,104.3,70
2010-03-01,196,70
2010-04-01,158.4,80
2010-05-01,199.5,90
2010-06-01,185.5,90
2010-07-01,174.7,90
2010-08-01,184,90
2010-09-01,190.4,90
2010-10-01,167.6,90
2010-11-01,196.9,90
2010-12-01,129,90
2011-01-01,159.1,70
2011-02-01,406.6,70
2011-03-01,409.9,70
2011-04-01,188.7,80
2011-05-01,143.1,90
2011-06-01,105.9,90
2011-07-01,107.2,90
2011-08-01,92.4,90
2011-09-01,197.3,90
2011-10-01,182.7,90
2011-11-01,289.4,90
2011-12-01,217.2,90
2012-01-01,128.4,70
2012-02-01,121.9,70
2012-03-01,114.2,70
2012-04-01,121.4,80
2012-05-01,166.1,90
2012-06-01,171.9,90
2012-07-01,174.3,90
2012-08-01,187,90
2012-09-01,180.9,90
2012-10-01,159.3,90
2012-11-01,161.6,90
2012-12-01,121.8,90
2013-01-01,361.6,70
2013-02-01,198.6,70
2013-03-01,465.9,70
2013-04-01,270.5,80
2013-05-01,258.3,90
2013-06-01,279.8,90
2013-07-01,309.9,90
2013-08-01,396.7,90
2013-09-01,312.4,90
2013-10-01,418.9,90
2013-11-01,301.9,90
2013-12-01,277.5,90
2014-01-01,275.9,70
2014-02-01,248.1,70
2014-03-01,251.2,70
2014-04-01,320.9,80
2014-05-01,328.2,90
2014-06-01,370.1,90
2014-07-01,392.5,90
2014-08-01,339.2,90
2014-09-01,389.6,90
2014-10-01,356.3,90
2014-11-01,511.9,90
2014-12-01,326.4,90
2015-01-01,520.6,70
2015-02-01,420.9,70
2015-03-01,310.6,70
2015-04-01,371,80
2015-05-01,522.7,90
2015-06-01,455.1,90
2015-07-01,334.1,90
2015-08-01,348.8,90
2015-09-01,424.9,90
2015-10-01,345.8,90
2015-11-01,489.4,90
2015-12-01,485.1,90
2016-01-01,502.1,70
2016-02-01,200.4,70
2016-03-01,146.2,70
2016-04-01,184,80
2016-05-01,455.7,90
2016-06-01,251.6,90
2016-07-01,269.2,90
2016-08-01,155.6,90
2016-09-01,187.8,90
2016-10-01,182.2,90
2016-11-01,185.4,90
2016-12-01,179.2,90
2017-01-01,167.3,70
2017-02-01,356.7,70
2017-03-01,425.6,70
2017-04-01,740.9,80
2017-05-01,479.5,90
2017-06-01,214.1,90
2017-07-01,239.2,90
2017-08-01,167,90
2017-09-01,218.1,90
2017-10-01,540,90
2017-11-01,175.5,90
2017-12-01,173,90
2018-01-01,194.9,70
2018-02-01,157.2,70
2018-03-01,391.5,70
2018-04-01,256.1,80
2018-05-01,305.3,90
2018-06-01,180.3,90
2018-07-01,181.2,90
2018-08-01,254.4,90
2018-09-01,183.9,90
2018-10-01,268.2,90
2018-11-01,401.5,90
2018-12-01,851.3,90
2019-01-01,312.7,70
2019-02-01,201.4,70
